symbol,category,date,value,reportDate,reference
npn:sj,pe,1999-12-31T00:00:00,0.614,2000-03-31T00:00:00,FY2001H2  
npn:sj,pe,2003-06-30T00:00:00,15.4675,2003-09-30T00:00:00,FY2004H1  
npn:sj,pe,2003-12-31T00:00:00,24.2444,2004-03-31T00:00:00,FY2004H2  
npn:sj,pe,2004-06-30T00:00:00,12.0742,2004-09-30T00:00:00,FY2005H1  
npn:sj,pe,2005-06-30T00:00:00,9.0497,2005-09-30T00:00:00,FY2006H1  
npn:sj,pe,2006-06-30T00:00:00,15.9324,2006-09-30T00:00:00,FY2007H1  
npn:sj,pe,2007-06-30T00:00:00,13.5405,2007-09-30T00:00:00,FY2008H1  
npn:sj,pe,2008-06-30T00:00:00,12.9644,2008-09-30T00:00:00,FY2009H1  
npn:sj,pe,2009-06-30T00:00:00,25.4484,2009-09-30T00:00:00,FY2010H1  
npn:sj,pe,2010-06-30T00:00:00,21.8035,2010-09-30T00:00:00,FY2011H1  
npn:sj,pe,2011-06-30T00:00:00,21.3307,2011-09-30T00:00:00,FY2012H1  
npn:sj,pe,2012-06-30T00:00:00,26.4009,2012-09-30T00:00:00,FY2013H1  
npn:sj,pe,2013-06-30T00:00:00,51.7242,2013-09-30T00:00:00,FY2014H1  
npn:sj,pe,2014-06-30T00:00:00,32.328,2014-09-30T00:00:00,FY2015H1  
npn:sj,pe,2015-06-30T00:00:00,36.5933,2015-09-30T00:00:00,FY2016H1  
npn:sj,pe,2016-06-30T00:00:00,45.2996,2016-09-30T00:00:00,FY2017H1  
npn:sj,pe,2017-06-30T00:00:00,27.7741,2017-09-30T00:00:00,FY2018H1  
npn:sj,pe,2018-06-30T00:00:00,4.2819,2018-09-30T00:00:00,FY2019H1  
npn:sj,pe,2019-06-30T00:00:00,22.9133,2019-09-30T00:00:00,FY2020H1  
npn:sj,pe,2020-06-30T00:00:00,29.7725,2020-09-30T00:00:00,FY2021H1  
npn:sj,pe,2020-12-31T00:00:00,16.9455,2021-03-31T00:00:00,FY2021H2  
npn:sj,pe,2021-06-30T00:00:00,4.124,2021-09-30T00:00:00,FY2022H1  
npn:sj,pe,2021-12-31T00:00:00,4.08,2022-03-31T00:00:00,FY2022H2  
npn:sj,pe,2022-06-30T00:00:00,16.3267,2022-09-30T00:00:00,FY2023H1  
npn:sj,pe,2022-12-31T00:00:00,9.2227,2023-03-31T00:00:00,2022-12-31
npn:sj,pe,2023-09-30T00:00:00,7.5614,2023-09-30T00:00:00,2023-06-30
